percentage	proportion,profit,sample,volume
provisions	stipulations,interrelations,jurisdictions,interpretations
hasten	accelerate,accompany,determine,permit
enormously	tremendously,decidedly,uniquely,appropriately
generally	broadly,controversial,accurately,descriptively
annals	chronicles,songs,trails,homes
tranquillity	peacefulness,harshness,weariness,happiness
often	frequently,chemically,hardly,definitely
hue	color,scent,contrast,glare
infinite	limitless,relative,unusual,structural
verbally	orally,overtly,fitting,wordy
bigger	larger,better,closer,steadier
arranged	planned,explained,studied,discarded
prospective	potential,prominent,prudent,particular
hastily	hurriedly,shrewdly,habitually,chronologically
fashion	manner,craze,fathom,ration
costly	expensive,beautiful,popular,complicated
perilous	dangerous,offensive,exciting,binding
expeditious	rapidly,repeatedly,actually,frequently
command	mastery,awareness,love,observation
normally	ordinarily,permanently,periodically,haltingly
terminated	ended,posed,postponed,evaluated
peculiarly	uniquely,patriotically,suspiciously,partly
sufficient	enough,valuable,physiological,recent
primarily	chiefly,consistently,cautiously,occasionally
consumed	eaten,supplied,caught,bred
prominent	conspicuous,mysterious,ancient,battered
dissipate	disperse,isolate,disguise,photograph
hind	rear,hairy,muscular,curved
uniform	alike,sharp,complex,hard
built	constructed,proposed,financed,organized
haphazardly	randomly,linearly,densely,dangerously
furnish	supply,impress,protect,advise
grin	smile,joke,rest,exercise
unlikely	improbable,disagreeable,different,unpopular
showed	demonstrated,published,repeated,postponed
figure	solve,divide,express,list
distribute	circulate,research,acknowledge,commercial
situated	positioned,emptying,isolated,rotating
solitary	alone,fearless,restless,alert
showy	striking,prickly,entertaining,incidental
spot	location,sea,latitude,climate
issues	subjects,benefits,salaries,training
feasible	possible,equitable,evident,permitted
deftly	skillfully,prudently,occasionally,humorously
sustained	prolonged,refined,lowered,analyzed
essentially	basically,ordinarily,eagerly,possibly
fanciful	imaginative,apparent,logical,familiar
salutes	greetings,privileges,ceremonies,information
temperate	mild,short,windy,cold
keen	sharp,famous,simple,useful
recognized	acknowledged,welcomed,depicted,successful
slowly	gradually,effectively,continuously,rarely
discrepancies	differences,wavelengths,deposits,weights
concocted	devised,cleaned,requested,supervised
concisely	succinctly,freely,positively,powerfully
urgently	desperately,tentatively,conceivably,typically
resolved	settled,examined,forgotten,publicized
levied	imposed,believed,requested,correlated
flawed	imperfect,lustrous,crude,tiny
highlight	accentuate,restore,imitate,alter
constantly	continually,rapidly,accidentally,instantly
halfheartedly	apathetically,unconventional,bipartisan,customarily
easygoing	relaxed,farming,boring,frontier
unmatched	unequaled,alienated,emulated,unrecognized
narrow	thin,poisonous,freezing,clear
physician	doctor,nurse,pharmacist,chemist
wildly	furiously,abruptly,mysteriously,distinctively
hailed	acclaimed,remembered,addressed,judged
tasks	jobs,shops,materials,customers
prolific	productive,serious,capable,promising
debate	argument,election,competition,war
roots	origins,rituals,cure,function
make	earn,print,trade,borrow
principal	major,exceptional,numerous,most
perseverance	endurance,skill,generosity,disturbance
zenith	pinnacle,outset,decline,completion
marketed	sold,sweetened,diluted,frozen
advent	coming,arrest,financing,stability
colloquial	conversational,incorrect,misunderstood,recorded
